2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 51.22/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=51.22
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 52.18/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=52.18
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 53.14/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=53.14
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 54.10/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.000 accel=0.000 progress=54.10
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 55.06/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:38:09 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.001 accel=0.000 progress=55.06
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 56.02/78.49, horizon 4, dt 0.08
2025-10-30 16:38:09 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
